generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Echinopsis_calorubra,Leuenbergeria_marcanoi,0,0.032,0,0.005,0
2500,Echinopsis_calorubra,Leuenbergeria_marcanoi,0,0.261891,0.0378363,0.0134118,0
2500,Pilosocereus_splendidus,Micranthocereus_albicephalus,26.4626,2.03657,-0.0650286,0.209844,0
2500,Pfeiffera_paranganiensis,Pfeiffera_asuntapatensis,28.1386,0.874391,-0.0573418,0.391649,0
2500,Copiapoa_esmeraldana,Copiapoa_taltalensis,28.2135,2.80983,0.0356562,0.545295,0
2500,Coryphantha_georgii,Coryphantha_clavata,28.4233,2.40703,-0.0108972,0.135108,0
2500,Leuenbergeria_marcanoi,Leuenbergeria_lychnidiflora,10.88,0.191851,0.00701948,0.155937,0
5000,Echinopsis_calorubra,Leuenbergeria_marcanoi,0,0.227311,0.0392134,0.00497731,0
5000,Cleistocactus_parviflorus,Espostoa_guentheri,26.5969,1.16474,0.017732,0.276967,0
5000,Pilosocereus_splendidus,Micranthocereus_auriazureus,25.216,1.661,-0.0381355,0.196888,0
5000,Echinocereus_engelmannii,Echinocereus_berlandieri,26.5469,0.974521,0.00800146,0.0679899,0
5000,Copiapoa_esmeraldana,Copiapoa_echinoides,25.0279,1.92146,-0.0107546,1.25445,0
5000,Mammillaria_albilanata,Mammillaria_spinosissima,26.6632,3.38201,0.0188501,0.740415,0
5000,Coryphantha_georgii,Coryphantha_clavata,28.654,2.05156,0.0168908,0.26641,0
5000,Mammillaria_albilanata,Turbinicarpus_alonsoi,23.5195,1.05819,-0.13704,0.000774313,0
5000,Pereskiopsis_diguetii,Pereskiopsis_aquosa,25.341,0.364754,0.0369256,0.3582,0
5000,Pereskia_sacharosa,Pereskia_diaz-romeroana,2.84911,1.39462,-0.041858,0.702324,0
5000,Leuenbergeria_marcanoi,Leuenbergeria_lychnidiflora,10.5149,0.243784,-0.00286407,0.0617271,0
7500,Echinopsis_calorubra,Leuenbergeria_marcanoi,0,0.219049,0.04986,0.00137695,0
7500,Cleistocactus_parviflorus,Cleistocactus_samaipatanus,26.1256,0.896978,0.0227322,0.0532561,0
7500,Pilosocereus_splendidus,Micranthocereus_albicephalus,26.3004,1.60278,-0.00692629,0.350643,0
7500,Eriosyce_occulta,Eriosyce_strausiana,24.8137,1.14508,-0.0218379,0.330457,0
7500,Gymnocalycium_andreae,Gymnocalycium_spegazzinii,25.2435,3.29192,-0.0914011,2.51622,0
7500,Echinocereus_engelmannii,Echinocereus_berlandieri,26.7508,1.47846,0.0253054,0.258956,0
7500,Hylocereus_costaricensis,Acanthocereus_oaxacensis,23.8533,0.753655,0.102775,0.0840984,0
7500,Mammillaria_albilanata,Mammillaria_spinosissima,26.6159,3.77422,0.0256191,0.891955,0
7500,Coryphantha_georgii,Coryphantha_clavata,28.5819,3.25543,0.0426204,0.211528,0
7500,Mammillaria_albilanata,Cumarinia_odorata,24.2494,0.964828,-0.0998929,0.0552095,0
7500,Pereskia_sacharosa,Pereskia_diaz-romeroana,6.40811,1.26641,-0.039806,0.753554,0
7500,Leuenbergeria_marcanoi,Leuenbergeria_lychnidiflora,9.96233,0.18147,0.0905753,0.322643,0
10000,Echinopsis_calorubra,Leuenbergeria_marcanoi,0,0.208835,0.0334529,0.00141562,0
10000,Harrisia_regelii,Harrisia_pomanensis,28.1624,2.60233,-0.0398254,0.496228,0
10000,Cleistocactus_parviflorus,Cleistocactus_baumannii,27.0824,1.16225,-0.0936554,0.512965,0
10000,Pilosocereus_splendidus,Micranthocereus_albicephalus,26.4287,1.50342,-0.0255695,0.0440314,0
10000,Gymnocalycium_andreae,Gymnocalycium_nigriareolatum,25.7997,4.07802,-0.0443429,2.96634,0
10000,Echinocereus_engelmannii,Echinocereus_stolonifer,25.9365,1.45229,-0.0566697,0.105546,0
10000,Hylocereus_costaricensis,Acanthocereus_oaxacensis,23.5524,1.20195,-0.0601048,0.113069,0
10000,Pfeiffera_paranganiensis,Pfeiffera_asuntapatensis,27.8663,1.10518,0.0398289,0.0215042,0
10000,Eriosyce_occulta,Eriosyce_strausiana,24.4161,1.04587,-0.00894117,0.153362,0
10000,Copiapoa_esmeraldana,Copiapoa_echinoides,24.3446,1.10966,0.0886707,1.11235,0
10000,Mammillaria_albilanata,Mammillaria_spinosissima,26.5306,3.01804,0.0167852,0.388954,0
10000,Coryphantha_georgii,Coryphantha_clavata,27.8608,2.59383,0.00215674,2.06019,0
10000,Mammillaria_albilanata,Turbinicarpus_alonsoi,23.7104,0.98093,-0.114858,0.000143289,0
10000,Pereskia_sacharosa,Pereskia_diaz-romeroana,7.97897,0.96878,-0.040465,0.691729,0
10000,Leuenbergeria_marcanoi,Leuenbergeria_lychnidiflora,10.0406,0.10277,0.0735899,0.208957,0
12500,Echinopsis_calorubra,Leuenbergeria_marcanoi,0,0.225209,0.029244,0.00100585,0
12500,Echinopsis_huascha,Echinopsis_walteri,26.8166,1.27321,-0.0499392,0.34205,0
12500,Harrisia_regelii,Harrisia_pomanensis,28.2378,4.19451,0.0470179,0.418526,0
12500,Cleistocactus_parviflorus,Cleistocactus_samaipatanus,26.1002,1.63632,-0.0638039,0.142797,0
12500,Pilosocereus_splendidus,Micranthocereus_albicephalus,26.3803,1.40827,0.0255391,0.0151099,0
12500,Gymnocalycium_andreae,Gymnocalycium_nigriareolatum,25.7175,2.21793,-0.0875535,0.250211,0
12500,Echinocereus_engelmannii,Echinocereus_stolonifer,25.6729,1.37109,-0.034823,0.40763,0
12500,Pseudorhipsalis_alata,Pseudorhipsalis_lankesteri,28.2611,1.89625,-0.0662982,0.468837,0
12500,Hylocereus_costaricensis,Acanthocereus_oaxacensis,22.758,0.89574,-0.0467754,0.0451212,0
12500,Eriosyce_occulta,Eriosyce_strausiana,22.3168,0.667149,0.0443556,0.170689,0
12500,Copiapoa_esmeraldana,Copiapoa_echinoides,19.9594,1.25176,-0.0148839,0.647559,0
12500,Mammillaria_albilanata,Mammillaria_spinosissima,26.5883,2.68292,0.0740967,0.344354,0
12500,Coryphantha_georgii,Coryphantha_clavata,28.6607,1.91582,0.0397556,0.467733,0
