"Specie\Loci","1-Thelocactus bicolor chloroplast matK gene and partial tRNA-Lys intron isolate CHB54","2-Echinocereus coccineus voucher Sanchez 64 (MEXU) ribosomal protein L16 (rpl16) gene partial cds; chloroplast","3-Echinocereus laui voucher Sanchez 33 (MEXU) tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer partial sequence; chloroplast","4-UNVERIFIED: Cephalocereus apicicephalium voucher SA_1257 PsbA and psbA-trnH intergenic spacer partial sequence; chloroplast","22-ITS","5-Echinopsis lageniformis voucher B.O.Schlumpberger x39 (M) trnS(GCU)-trnG(UUC) intergenic spacer partial sequence; chloroplast","6-Brasiliopuntia brasiliensis voucher DBG:0559 atpB-rbcL intergenic spacer partial sequence; chloroplast","7-Echinocactus platyacanthus phytochrome C (PHYC) gene partial cds","8-UNVERIFIED: Cephalocereus senilis voucher SA_1417-a trnQ-rps16 intergenic spacer region partial sequence; chloroplast","9-Eriosyce umadeave rpl32-trnL intergenic spacer partial sequence; chloroplast","10-Opuntia wilcoxii tRNA-Leu (trnL) gene partial sequence; trnL-trnF intergenic spacer complete sequence; and tRNA-Phe (trnF) gene partial sequence; chloroplast","11-Turbinicarpus viereckii phosphoenolpyruvate carboxylase and phosphoenolpyruvate carboxylase-like genes partial sequence","12-Echinocereus metornii voucher Sanchez 83 (MEXU) ribulose-15-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene partial cds; chloroplast","13-Pilosocereus bohlei strain S35M11 petL-psbE intergenic spacer region partial sequence; chloroplast","14-Schlumbergera truncata chloroplast ribulose-15-bisphosphate carboxylase/oxygenase large subunit (rbcL) gene partial cds","15-Opuntia repens voucher 3837 maturase K (matK) gene partial cds; chloroplast","16-Cereus saddianus isolate S103D1DT photosystem II protein D2 (psbD) gene partial cds; and psbD-trnT intergenic spacer partial sequence; chloroplast","17-Gymnocalycium paraguayense trnK-rps16 intergenic spacer and rps16 gene partial sequence; plastid","18-Disocactus crenatus isolate 12b Ycf1 (ycf1) gene partial cds; chloroplast","19-Opuntia schumannii voucher DBG:0362 PsbJ (psbJ) gene partial cds; and psbJ-petA intergenic spacer partial sequence; chloroplast","20-Tunilla corrugata voucher 0006 ndhF-rpl32 intergenic spacer partial sequence; chloroplast","21-Echinopsis schickendantzii voucher A.R. Franck 2312 (USF) atpB-rbcL intergenic spacer partial sequence; plastid",
"153879-Neoraimondia arequipensis",AY015299.1,"-","-","-","-","-","-","-","-","-",AY015349.1,"-","-","-","-","-","-","-","-","-","-","-",
"153840-Austrocactus bertinii",AY015300.1,"-","-","-","-","-","-","-","-","-",AY015350.1,"-","-","-","-","-","-","-","-","-","-","-",
"153863-Eulychnia iquiquensis",AY015301.1,"-","-",LN867904.1,"-","-","-","-","-",MG263814.1,AY015351.1,"-","-","-","-","-","-","-",LN868105.1,"-","-","-",
"153849-Corryocactus brevistylus",AY015302.1,KM487303.1,JF975686.1,"-","-","-","-","-","-",JF975703.1,AY015352.1,"-","-","-","-","-","-","-","-","-","-","-",
"153890-Pfeiffera ianthothele",AY015304.1,FR716775.1,LT745463.1,FR716785.1,HQ727806.1,"-","-","-","-",HQ727883.1,"-","-","-","-","-","-","-","-","-","-","-","-",
"154420-Pfeiffera miyagawae",AY015305.1,FN673637.1,"-",FN995429.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153854-Echinocereus pentalophus",AY015307.1,KF783558.1,KF783628.1,KF783509.1,"-","-","-","-",KF783699.1,"-","-","-",KF783403.1,"-","-","-","-","-","-","-","-","-",
"153861-Escontria chiotilla",AY015308.1,KF783610.1,KF783680.1,KY624693.1,"-","-","-","-",KY624763.1,KY624726.1,"-","-",KF783459.1,KY624796.1,"-","-","-","-",KY624831.1,"-","-","-",
"153875-Lophocereus schottii",AY015309.1,AY181613.1,AY181620.2,MH107796.1,AY181581.1,"-","-","-","-","-",AY048819.1,"-","-","-","-","-","-","-","-","-","-","-",
"153877-Micranthocereus albicephalus",AY015314.1,"-","-","-","-","-","-","-","-","-",AY015361.1,"-","-","-","-","-","-","-","-","-","-","-",
"153842-Browningia hertlingiana",AY015315.1,FN673555.1,JQ779688.1,FN995427.1,"-",JQ779526.1,"-","-",FN677806.1,"-","-","-","-","-",FR853281.1,"-","-",AM502521.1,"-","-","-",AM502347.1,
"154424-Browningia chlorocarpa",AY015316.1,KM487313.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153865-Gymnocalycium denudatum",AY015317.1,"-",FR667087.1,"-","-","-","-","-","-","-","-","-","-",FR848294.1,"-","-","-","-","-","-","-","-",
"153848-Coleocephalocereus fluminensis",AY015318.1,KM487311.1,"-","-",AY064347.1,"-","-","-","-","-",AY015364.1,"-","-","-","-","-","-",AM502534.1,"-","-","-",AM502533.1,
"153901-Uebelmannia pectinifera",AY015319.1,HM041532.1,HM041375.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153897-Stetsonia coryne",AY015320.1,HM041518.1,HM041361.1,"-",AY064345.1,JQ779508.1,"-","-","-","-","-","-","-","-",MG430085.1,"-","-",AM502585.1,"-","-","-",AM502584.1,
"153894-Samaipaticereus corroanus",AY015321.1,JN166906.1,JQ779660.1,"-","-",JQ779498.1,"-","-","-","-","-","-","-","-",MG430079.1,"-","-",AM502583.1,"-","-","-",JN166886.1,
"183649-Echinopsis chiloensis",AY015322.1,JQ779789.1,AY566653.1,"-",AY064346.1,JQ779489.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153873-Echinopsis pentlandii",AY015323.1,JQ779704.1,JQ779550.1,"-","-",JQ779388.1,"-","-","-","-","-","-","-","-","-","-","-",AM502443.1,"-","-","-",AM502441.1,
"153869-Harrisia pomanensis",AY015324.1,JQ779791.1,JQ779653.1,"-","-",JQ779491.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153892-Rauhocereus riosaniensis",AY015326.1,JQ779761.1,JQ779617.1,"-","-",JQ779455.1,"-","-","-","-","-","-","-","-","-","-","-",AM502512.1,"-","-","-",AM502511.1,
"154426-Matucana intertexta",AY015327.1,JQ779764.1,JQ779620.1,"-","-",JQ779458.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153883-Oreocereus celsianus",AY015328.1,HM041483.1,FR667145.1,"-","-",JQ779464.1,"-","-","-","-","-","-","-",FR848317.1,"-","-","-",AM502577.1,"-","-","-",AM502576.1,
"153867-Haageocereus pseudomelanostele",AY015329.1,JQ889308.1,JQ779618.1,"-","-",JQ779456.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",JQ889305.1,
"130162-Parodia haselbergii",AY015330.1,KM487308.1,"-","-",AY064355.1,"-","-","-","-","-",AY015375.1,"-","-","-","-","-","-","-","-","-","-","-",
"153886-Parodia magnifica",AY015332.1,HM041490.1,HM041334.1,"-",AY064359.1,"-",AM502507.1,"-","-","-","-","-","-","-","-","-","-",AM502508.1,"-","-","-","-",
"153885-Parodia maassii",AY015333.1,"-","-",MF167132.1,AY064369.1,"-","-",HQ621111.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153887-Parodia microsperma",AY015334.1,"-","-","-",AY064376.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",AM502509.1,
"153888-Parodia ottonis",AY015335.1,"-","-",LN867894.1,AY064361.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"153856-Eriosyce aurata",AY015336.1,"-",MF166999.1,MF167072.1,"-","-","-",MF167212.1,"-",MF166925.1,"-","-","-","-",KY047657.1,"-","-","-","-","-","-","-",
"153857-Eriosyce islayensis",AY015337.1,"-",MF167017.1,MF167089.1,AY064351.1,"-","-","-","-",MF166942.1,"-","-","-","-","-","-","-","-","-","-","-","-",
"153859-Eriosyce subgibbosa",AY015338.1,"-",MF167048.1,MF167118.1,AY064354.1,"-","-",MF167255.1,"-",MF166973.1,"-","-","-","-","-","-","-","-","-","-","-","-",
"153858-Eriosyce napina",AY015339.1,"-",MF167028.1,MF167099.1,AY064353.1,"-","-",MF167236.1,"-",MF166953.1,"-","-","-","-","-","-","-",AM502547.1,"-","-","-","-",
"153881-Neowerdermannia vorwerkii",AY015340.1,JQ779823.1,JQ779690.1,"-",AY064350.1,"-","-","-","-","-","-","-","-","-","-","-","-",AM502449.1,"-","-","-",AM502447.1,
"154428-Hatiora salicornioides",AY015341.1,FN673564.1,HM041288.1,FN669030.1,HQ727783.1,"-","-","-",FN677853.1,HQ727862.1,"-",HM041636.1,"-","-",FR853289.1,"-","-","-","-","-","-","-",
"154430-Rhipsalis floccosa",AY015342.1,"-","-","-",HQ727788.1,"-","-","-","-",HQ727867.1,"-","-","-","-","-","-","-","-","-","-","-","-",
"3595-Schlumbergera truncata",AY015343.1,FN673571.1,"-",HQ727757.1,HQ727797.1,"-","-","-",FN677821.1,HQ727876.1,AJ583238.1,"-","-","-",M83543.1,"-","-","-","-","-","-","-",
"154432-Lepismium cruciforme",AY015344.1,FN673565.1,"-","-",HQ727787.1,"-","-","-",FN677815.1,HQ727866.1,AJ583237.1,"-","-","-",FR853290.1,"-","-","-","-","-","-","-",
"307722-Pereskia nemorosa",AY875350.1,AY851601.1,"-",AY851575.1,"-","-","-",AY875296.1,"-","-","-","-","-","-",AY875241.1,"-","-","-","-","-","-","-",
"307727-Pereskia bahiensis",AY875351.1,AY851605.1,"-",AY851579.1,HQ727803.1,"-","-","-",HQ727842.1,HQ727881.1,"-","-","-","-","-","-","-","-","-","-","-","-",
"307715-Pereskia diaz romeroana",AY875353.1,AY851592.1,"-",AY851566.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"307718-Leuenbergeria aureiflora",AY875354.1,AY851595.1,"-",AY851569.1,"-","-","-",AY875297.1,"-","-","-","-","-","-",AY875231.1,"-","-","-","-","-","-","-",
"3597-Pereskia aculeata",AY875355.1,HM041494.1,HM041338.1,AY851563.1,L78035.1,"-",LN871112.1,EU926713.1,"-","-","-","-","-","-",M97888.1,"-","-","-",LN868091.1,"-","-","-",
"307716-Pereskia weberiana",AY875357.1,AY851593.1,"-",AY851567.1,"-","-","-",AY875313.1,"-","-","-","-","-","-",AY875223.1,"-","-","-","-","-","-","-",
"307717-Leuenbergeria lychnidiflora",AY875358.1,KU598024.1,KU598077.1,KU597972.1,"-","-","-",AY875286.1,KU598130.1,"-","-","-","-","-",AY875238.1,"-","-","-",KU598188.1,"-","-","-",
"307721-Leuenbergeria bleo",AY875359.1,AY851600.1,"-",AY851574.1,"-","-","-",AY875289.1,"-","-","-","-","-","-",AY875227.1,"-","-","-","-","-","-","-",
"308219-Leuenbergeria marcanoi",AY875360.1,"-","-",AY875337.1,"-","-","-",AY875288.1,"-","-","-","-","-","-",AY875221.1,"-","-","-","-","-","-","-",
"307719-Leuenbergeria portulacifolia",AY875361.1,AY851598.1,"-",AY851572.1,"-","-","-",AY875315.1,"-","-","-","-","-","-",AY875226.1,"-","-","-","-","-","-","-",
"307723-Pereskia sacharosa",AY875363.1,AY851602.1,"-",MH069965.1,"-","-","-",AY875299.1,"-","-","-","-","-","-",AY875222.1,"-","-",HQ621581.1,"-","-","-","-",
"572155-Cumulopuntia subterranea",EU834746.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"400683-Rhipsalis paradoxa",FN669658.1,HE651077.1,AM397177.1,FN669043.1,HQ727782.1,"-","-","-","-",HQ727861.1,"-","-","-","-",HE651029.1,"-","-","-","-","-","-","-",
"722843-Rhipsalis pachyptera",FN669660.1,FN673562.1,"-",JF700641.1,HQ727772.1,"-","-","-","-",HQ727851.1,"-","-","-","-",FR853313.1,"-","-","-","-","-","-","-",
"722846-Rhipsalis pilocarpa",FN669661.1,FN673563.1,"-",LN867902.1,HQ727785.1,"-","-","-","-",HQ727864.1,"-","-","-","-",FR853288.1,"-","-","-",LN868103.1,"-","-","-",
"722849-Rhipsalis russellii",FN669670.1,FN673574.1,"-",FN669104.1,JF700739.1,"-","-","-","-",JF700692.1,"-","-","-","-",FR853298.1,"-","-","-","-","-","-","-",
"722807-Rhipsalis cereoides",FN669671.1,FN673575.1,"-",FN669054.1,HQ727780.1,"-","-","-","-",HQ727859.1,"-","-","-","-",FR853299.1,"-","-","-","-","-","-","-",
"732118-Rhipsalis cuneata",FN669672.1,FN673576.1,"-",JF700611.1,JF700708.1,"-","-","-","-",JF700660.1,"-","-","-","-",FR853300.1,"-","-","-","-","-","-","-",
"722820-Rhipsalis elliptica",FN669673.1,FN673577.1,"-",JF700622.1,JF700718.1,"-","-","-","-",HQ727849.1,"-","-","-","-",FR853301.1,"-","-","-","-","-","-","-",
"722816-Rhipsalis crispata",FN669677.1,FN673581.1,"-",JF700609.1,HQ727771.1,"-","-","-","-",HQ727850.1,"-","-","-","-",FR853305.1,"-","-","-","-","-","-","-",
"722826-Rhipsalis goebeliana",FN669681.1,FN673585.1,"-",FN669092.1,JF700719.1,"-","-","-","-",JF700671.1,"-","-","-","-",FR853309.1,"-","-","-","-","-","-","-",
"722831-Rhipsalis micrantha",FN669682.1,FN673584.1,"-",JF700625.1,JF700725.1,"-","-","-","-",HQ727855.1,"-","-","-","-",FR853308.1,"-","-","-","-","-","-","-",
"722856-Schlumbergera russelliana",FN669686.1,FN673591.1,"-",FN669021.1,HQ727774.1,"-","-","-",FN677850.1,HQ727853.1,"-","-","-","-",FR853315.1,"-","-","-","-","-","-","-",
"722857-Schlumbergera kautskyi",FN669687.1,FN673592.1,"-",FN669022.1,"-","-","-","-",FN677842.1,"-","-","-","-","-",FR853316.1,"-","-","-","-","-","-","-",
"722860-Schlumbergera opuntioides",FN669688.1,FN673593.1,"-",FN669019.1,HQ727801.1,"-","-","-","-",HQ727880.1,"-","-","-","-",FR853317.1,"-","-","-","-","-","-","-",
"326071-Schlumbergera gaertneri",FN669691.1,FN673596.1,"-",FN669036.1,HQ727807.1,"-","-","-",HQ727846.1,HQ727884.1,"-","-","-","-",FR853320.1,"-","-","-","-","-","-","-",
"722784-Hatiora herminiae",FN669692.1,FN673597.1,"-",FN669034.1,HQ727800.1,"-","-","-",HQ727839.1,HQ727879.1,"-","-","-","-",FR853321.1,"-","-","-","-","-","-","-",
"722859-Schlumbergera orssichiana",FN669696.1,FN673601.1,"-",FN669023.1,HQ727773.1,"-","-","-",FN677840.1,HQ727852.1,"-","-","-","-",FR853314.1,"-","-","-","-","-","-","-",
"722797-Schlumbergera rosea",FN669697.1,FN673602.1,"-",FN669037.1,HQ727808.1,"-","-","-",FN677852.1,HQ727885.1,"-","-","-","-",FR853326.1,"-","-","-","-","-","-","-",
"722808-Rhipsalis cereuscula",FN669700.1,FN673605.1,"-",FN669064.1,HQ727805.1,"-","-","-","-",HQ727882.1,"-","-","-","-",FR853329.1,"-","-","-","-","-","-","-",
"722847-Rhipsalis pulchra",FN669701.1,FN673607.1,"-",FN669060.1,HQ727775.1,"-","-","-","-",HQ727854.1,"-","-","-","-",FR853331.1,"-","-","-","-","-","-","-",
"722805-Rhipsalis burchellii",FN669702.1,FN673608.1,"-",FN669066.1,"-","-","-","-","-","-","-","-","-","-",FR853332.1,"-","-","-","-","-","-","-",
"722806-Rhipsalis campos portoana",FN669703.1,FN673609.1,"-",JF700652.1,JF700747.1,"-","-","-","-",JF700700.1,"-","-","-","-",FR853333.1,"-","-","-","-","-","-","-",
"722855-Rhipsalis trigona",FN669709.1,FN673615.1,"-",FN669044.1,HQ727778.1,"-","-","-","-",HQ727857.1,"-","-","-","-",FR853339.1,"-","-","-","-","-","-","-",
"722845-Rhipsalis pentaptera",FN669716.1,FN673620.1,"-",JF700648.1,JF700743.1,"-","-","-","-",JF700696.1,"-","-","-","-",FR853344.1,"-","-","-","-","-","-","-",
"722791-Lepismium lumbricoides",FN669721.1,FN673625.1,"-","-",HQ727798.1,"-","-","-",FN677874.1,HQ727877.1,"-","-","-","-",FR853349.1,"-","-","-","-","-","-","-",
"722796-Lymanbensonia micrantha",FN669722.1,FN673628.1,"-",FN669039.1,"-","-","-","-",FN677876.1,"-","-","-","-","-","-","-","-","-","-","-","-","-",
"722795-Lepismium warmingianum",FN669723.1,FN673629.1,"-","-",HQ727799.1,"-","-","-","-","-","-","-","-","-",FR853352.1,"-","-","-","-","-","-","-",
"722786-Lepismium houlletianum",FN669727.1,FN673632.1,"-","-",HQ727796.1,"-","-","-","-",HQ727875.1,"-","-","-","-",FR853356.1,"-","-","-","-","-","-","-",
"722789-Lymanbensonia incachacana",FN669728.1,FN673634.1,"-",FN669038.1,"-","-","-","-",FN677881.1,"-","-","-","-","-","-","-","-","-","-","-","-","-",
"722790-Lepismium lorentzianum",FN669729.1,FN673635.1,"-","-","-","-","-","-",FN677883.1,"-","-","-","-","-",FR853354.1,"-","-","-","-","-","-","-",
"154421-Pfeiffera monacantha",FN669733.1,FN673638.1,"-",FN995430.1,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",
"722839-Rhipsalis occidentalis",FN669735.1,FN673580.1,"-",FN669090.1,"-","-","-","-","-","-","-","-","-","-",FR853304.1,"-","-","-","-","-","-","-",
"169218-Rhipsalis teres",FN669737.1,FN673643.1,"-",JF700651.1,HQ727794.1,"-","-","-","-",JF700699.1,"-","-","-","-",FR853362.1,AY042645.1,"-","-","-","-","-","-",
"722830-Rhipsalis mesembryanthemoides",FN669740.1,FN673646.1,"-",FN669076.1,HQ727779.1,"-","-","-","-",HQ727858.1,"-","-","-","-",FR853364.1,"-","-","-","-","-","-","-",
"722778-Echinopsis aurea",FN669743.1,FN673649.1,JQ779634.1,FN669005.1,"-","-","-","-","-","-","-","-","-","-",FR853367.1,"-","-","-","-","-","-",JN166878.1,
"722827-Rhipsalis grandiflora",FN669745.1,FN673559.1,"-",JF700650.1,JF700745.1,"-","-","-","-",JF700698.1,"-","-","-","-",FR853284.1,"-","-","-","-","-","-","-",
"722821-Rhipsalis ewaldiana",FN669746.1,FN673652.1,"-",JF700649.1,JF700744.1,"-","-","-","-",JF700697.1,"-","-","-","-",FR853370.1,"-","-","-","-","-","-","-",
"722828-Rhipsalis hoelleri",FN669747.1,FN673653.1,"-",FN669106.1,"-","-","-","-","-","-","-","-","-","-",FR853371.1,"-","-","-","-","-","-","-",
