"","species","water","sand","texture","ai","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","npp","pet","elev","sd_elev","prof_curve","roughness","slope","sd_slope","tang_curve","max_height","chromosome_count_median","chromosome_count_distribution","pollinator_detailed","pollinator_binary","growth_form_detailed","growth_form_binary","BAMM_V1","BAMM_V2","MiSSE_V1_full","MiSSE_V2_full","MiSSE_V1_pruned","MiSSE_V2_pruned","DR_V1","DR_V2","range_size"
"11","Ariocarpus_retusus",14,38,4,0.329919338226318,19.95,24.2,14.2500000000001,482.15,90.75,10.85,66.9,222.45,47.35,184.45,50.35,12,0.536500000953674,366.7,30.35,7.65000000000003,22.3,23.45,16.2500000000001,796.55,126.675,1221,0.916429877281189,6.50531073915772e-05,16,1.40325397253036,0.477610439062119,6.29264905001037e-05,25,"11","11","bee","ancestral","globose_solitary","compact",0.039468331,0.569272835990567,0.399640487474062,2.59476444800407,0.386907648315074,1.73818073883531,0.190741983517,1.3629737623806,209353.414
"12","Ariocarpus_scaphirostris",15,35,4,0.401423066854477,20.45,24.65,15.2500000000001,596.2,126.8,15,66.5,277.4,59,222.9,60.1,11.6,0.569000005722046,373.2,29.85,9.45000000000005,20.4,24.05,15.65,951.6,124.31,931,8.67377471923828,0.000667845946736634,111.5,8.61579990386963,3.61560010910034,0.000567390001378953,6,"#N/A","#N/A","bee","ancestral","geophytic","compact",0.039468331,0.568827854510446,0.225660227211023,0.785117933766782,0.210218742650219,0.986972162291903,0.110852800525497,0.760047826035873,NA
"13","Ariocarpus_trigonus",14,38,4,0.456588894128799,22.35,27.95,15.65,714.05,157.5,16.9,70.5,334.6,63.45,254.75,64.7,11.2,0.496999979019165,440.75,33.45,10.2500000000001,22.2,26.7500000000001,16.55,1100.45,132.435,409.5,1.0221780538559,7.46396981412545e-05,14,1.16816627979279,0.479381442070007,7.59656213631388e-05,NA,"#N/A","#N/A","bee","ancestral","globose_solitary","compact",0.039468331,0.569272835990567,0.399640482110911,2.59476445239226,0.386907687660992,1.73818097584518,0.190741983517,1.3629737623806,24924.53436
"14","Armatocereus_godingianus",18,44.5,7,1.75352132320404,10.15,10.55,9.55000000000001,1566.8,256.3,66.1,47.15,672.8,214.2,618.1,226.65,7.1,0.827000045776367,40.15,14.4,5.50000000000003,8.7,10.55,9.60000000000002,1410.8,98.685,3215.25,8.31367158889771,0.000560112937819213,179,15.4821882247925,4.7535355091095,0.000711851462256163,NA,"#N/A","#N/A","moth","derived","shrubby","arborescent",0.073399839,0.354131323854958,0.207946313966303,0.388761299143602,0.202937237945401,0.772331755880157,0.044432322328624,0.219594312206176,1060.582878
"15","Armatocereus_laetus",16,43,6,1.06554436683655,14.9,15.3,14.35,1216.65,252.9,17.4,70.4,616.05,63.5,580.9,90.9,8.4,0.773999977111816,35.15,20.2500000000001,9.75000000000006,10.8,15.2500000000001,14.45,1500,112.32,2261,7.62331628799438,0.000570962729398161,215.75,19.0627861022949,4.76849174499512,0.000884446577401832,600,"#N/A","#N/A",NA,NA,"columnar","arborescent",0.074701247,0.353836148034165,0.280280426186443,0.614164881440025,0.282630933896175,1.03466956603573,0.0830664085282337,0.312102312417233,7889.432603
"16","Armatocereus_matucanensis",17,47,7,1.30063724517822,6.05000000000001,6.65000000000003,5.25000000000003,1152.65,209.35,12.65,68.6,565.15,52.05,468.85,64.3,9.7,0.788000011444092,56.8,11.8,-0.349999999999966,12.3,6.55000000000001,5.40000000000003,1009.9,96.305,4027.75,8.06260347366333,0.000554338243091479,182,15.6249194145203,4.6013503074646,0.000741916534025222,600,"#N/A","#N/A",NA,NA,"arborescent","arborescent",0.074701247,0.353836148034165,0.280280508416159,0.614164882195916,0.282631034240799,1.03466983703688,0.0830664085282337,0.312102312417233,94532.86508
"17","Armatocereus_procerus",15,54,6,0.428976267576218,14.65,14.95,14.2500000000001,451.95,109.7,2.8,94.55,275.7,12.9,49.8,223.9,7.2,0.80600004196167,26.9,19.2500000000001,10.2500000000001,8.9,14.45,14.55,753.5,103,2311,7.7281699180603,0.000576555059524253,232.5,19.8677635192871,5.07802200317383,0.00097805802943185,700,"#N/A","#N/A",NA,NA,"arborescent","arborescent",0.074701247,0.353157305353238,0.20898524486698,0.379344083816398,0.203114283783486,0.772283784727261,0.0454462321588328,0.135502455933351,12992.45845
"18","Arrojadoa_rhodantha",14,61,6,0.432724148035049,25.65,27.05,23.7500000000001,697.3,137.2,2,87.2,345.65,9.55,191.7,26.5,9.4,0.671999979019165,134.45,32.55,18.55,14.1,25.95,24.55,1079.95,150.435,472.75,0.966226577758789,7.97270913608372e-05,16,1.34443604946136,0.506135493516922,8.42783301777672e-05,200,"11","11","bird","derived","shrubby","arborescent",0.248153942,1.54542985531503,0.241945918100218,0.483049561082707,0.223499755288724,0.845122664235308,0.130521921350733,0.544978320041971,561080.5098
"19","Arthrocereus_glaziovii",18,47,3,1.50041115283966,16.2500000000001,18.15,13.55,1777.4,419.5,8.6,91.5,1056.7,42.5,743.3,42.5,8.9,0.61100001335144,184.9,22.35,7.85000000000002,14.5,17.7500000000001,13.55,1949.8,119.93,1469,10.3770704269409,0.00113041303120553,205,17.6554584503174,8.26410102844238,0.00135460344608873,NA,"#N/A","#N/A","moth","derived","shrubby/columnar","arborescent",0.090143449,0.609647562180441,0.21218855234072,0.398859314254484,0.203838487898296,0.774332222700727,0.0746044631840576,0.286746531734064,NA
"20","Arthrocereus_rondonianus",14,53,6,0.911608636379242,21.55,23,18.95,1309.25,290.1,5.8,90.8,765.25,21.65,562.95,21.65,9.9,0.632999992370606,172.2,27.65,12.45,15.7,22.65,18.95,1702.2,134.785,956.75,2.32132744789124,0.000183841788384598,39.25,3.33064031600952,1.3247726559639,0.000189147584023885,50,"#N/A","#N/A","moth","derived","shrubby/columnar","arborescent",0.090143449,0.609647562180441,0.212188551073089,0.398859314141332,0.20383848741712,0.77433206548218,0.0746044631840576,0.286746531734064,2803.091171
"21","Arthrocereus_spinosissimus",14,67,9,0.946627795696259,26.15,27.45,24.05,1458,253.9,8.8,71,682.6,44.45,517.25,71.95,8.8,0.615000009536743,136.6,32.45,18.15,14.3,26.95,24.2500000000001,1820,145.28,201.75,0.927024781703949,7.88549587014131e-05,14.5,1.18808728456497,0.465424612164497,8.50007672852371e-05,100,"#N/A","#N/A","moth","derived","shrubby/columnar","arborescent",0.090143449,0.609647562180441,0.209292481900508,0.389315813317573,0.203087273739015,0.772819384760165,0.060332521738463,0.233687829274365,5026.808214
"22","Astrophytum_asterias",14,40,4,0.415716469287872,24.05,29.05,17.35,670.8,140,16.6,66.9,306,66,240.55,66.95,11.1,0.488000011444092,448.05,34.85,12.2,22.5,27.95,18.65,1047.15,148.385,190,0.60917466878891,4.66919009340927e-05,8,0.705065846443176,0.270459860563278,4.63361593574518e-05,5,"11","11","bee, ento","derived","globose_solitary","compact",0.057051725,0.142787167960993,0.230924568108544,0.397709673786285,0.213133766693305,0.773889323034879,0.115049795725211,0.268550694264055,19745.91661
"23","Astrophytum_capricorne",14,36,4,0.237787187099457,20.65,25.85,14.05,356.9,66.95,8.6,65.5,169.35,38.1,142.6,44,12.5,0.507500004768372,480.1,31.85,7.25000000000006,24.65,24.95,16.55,612.65,128.425,1199.25,1.80439019203186,0.00011673241169774,22.5,1.98491322994232,0.907632887363434,0.000105135251942556,25,"11","11","bee","ancestral","globose_solitary","compact",0.057051725,0.142787167960993,0.219649351800195,0.38632754614558,0.206366572669036,0.772492640532208,0.089601366598175,0.213861178532561,63350.36699
"24","Astrophytum_caput-medusae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,"#N/A","#N/A",NA,NA,"shrubby","arborescent",0.057051725,0.142472237048954,0.214280958467841,0.380936653689659,0.204280567590298,0.772302721282054,0.0836629509789984,0.176446292717025,NA
"25","Astrophytum_coahuilense",14,37,4,0.149302259087563,22.7500000000001,28.35,15.7500000000001,248.65,46.4,4.9,67.8,124.15,19.9,96.95,30,13.2,0.505999994277954,474.75,34.5500000000001,7.85000000000002,26,27.05,20.95,441.35,143.475,1138.25,0.705722987651825,4.0470691601513e-05,6.5,0.526521921157837,0.156278982758522,3.88181069865823e-05,15,"#N/A","#N/A",NA,NA,"globose_solitary","compact",0.057051725,0.142787167960993,0.230924570091181,0.397709673636457,0.213133766584737,0.773888993502201,0.115049795725211,0.268550694264055,8096.105765
"26","Astrophytum_myriostigma",14,38,4,0.393321305513382,18.9,22.2500000000001,14.4,561.2,101.95,11.3,68.4,275.55,47.45,232.8,49.4,11.5,0.573000001907349,321.55,28.7,8.45000000000005,20.6,21.55,15.45,905.25,121.51,1419,2.60370218753815,0.000196553504792973,38.25,3.06554269790649,1.35265529155731,0.00019032575073652,25,"11","11","bee, ento","derived","globose_solitary","compact",0.057051725,0.142472237048954,0.226654547329524,0.389968452519291,0.210605097947237,0.773018827811956,0.107912348908163,0.206840786156828,50809.83513
"27","Astrophytum_ornatum",13,38,4,0.488739430904388,17.65,20.45,14.05,648.35,131.15,10.1,78.95,341.1,41.55,196.6,41.75,10.9,0.576000022888184,251.85,26.85,7.95000000000005,18.8,19.35,14.35,1018.85,115.37,1695.25,7.22774076461792,0.000617629993939772,159.75,13.4373850822449,4.22903823852539,0.000778898509452119,100,"11","11","bee","ancestral","columnar","arborescent",0.057051725,0.142472237048954,0.226654545623214,0.389968452942624,0.210605098588353,0.773018488268284,0.107912348908163,0.206840786156828,13142.646
"28","Austrocactus_bertinii",20,67,9,0.268911316990852,11.65,18.7500000000001,4.30000000000004,289.45,39,14.3,31.35,100.45,48.65,54.25,74.55,10.9,0.405000019073486,564.65,25.95,-0.849999999999966,26.8,7.95000000000005,15.7500000000001,507.3,110.71,576.5,0.81723764538765,7.39372917450964e-05,12.5,1.09849178791046,0.411507591605186,7.16976828698535e-05,40,"#N/A","#N/A","bee","ancestral","columnar","arborescent",0.145715496,0.341714314150085,0.263895282884392,0.452654301451034,0.240006782121186,0.824433417296363,0.14259320560977,0.215824971285319,459579.3426
